dt,open,high,low,close,volume
2026-06-04 12:00:00+00:00,62479.39,63905.5,62315.43,63702.3,211.65489258
2026-06-04 13:00:00+00:00,63702.2,64174.72,63000.01,64130.52,298.16146932
2026-06-04 14:00:00+00:00,64179.3,64438.09,63738.0,63893.14,280.91762105
2026-06-04 15:00:00+00:00,63890.0,64337.73,63623.46,63824.29,321.18015919
2026-06-04 16:00:00+00:00,63824.29,63848.82,63373.0,63485.99,226.2514877
2026-06-04 17:00:00+00:00,63485.99,63637.48,62882.58,63457.28,331.60544932
2026-06-04 18:00:00+00:00,63454.49,64018.41,63064.33,63736.77,259.16891757
2026-06-04 19:00:00+00:00,63736.77,64073.54,63456.78,63546.64,180.25597444
2026-06-04 20:00:00+00:00,63543.64,63618.48,63122.82,63584.09,555.77118792
2026-06-04 21:00:00+00:00,63580.02,63819.7,63061.0,63226.0,177.15535764999998
2026-06-04 22:00:00+00:00,63222.05,63701.46,63131.03,63672.14,160.04907658
2026-06-04 23:00:00+00:00,63672.13,63853.85,63304.75,63814.8,61.18327658
2026-06-05 00:00:00+00:00,63811.0,63915.41,63332.95,63346.53,71.30278097
2026-06-05 01:00:00+00:00,63332.65,63492.0,62970.74,63297.0,75.85169966
2026-06-05 02:00:00+00:00,63296.55,63374.54,62518.45,62541.51,89.98056921
2026-06-05 03:00:00+00:00,62569.31,62828.48,62267.0,62658.93,77.27663083
2026-06-05 04:00:00+00:00,62667.99,63581.22,62427.9,63543.63,76.21382079
2026-06-05 05:00:00+00:00,63543.63,63622.59,62211.29,62271.55,119.06042978
2026-06-05 06:00:00+00:00,62275.05,62573.66,61072.62,61881.08,649.92413899
2026-06-05 07:00:00+00:00,61890.77,63058.4,61325.02,63056.24,287.5046186
2026-06-05 08:00:00+00:00,63059.0,63059.41,62232.15,62394.88,95.77982271
2026-06-05 09:00:00+00:00,62402.04,63200.19,62382.11,62811.2,159.49635474
2026-06-05 10:00:00+00:00,62819.0,62889.28,62324.73,62488.53,157.99187448
2026-06-05 11:00:00+00:00,62488.53,62567.95,61905.2,61905.2,268.75021872
2026-06-05 12:00:00+00:00,61900.41,62404.1,61561.02,61908.09,170.42397809
2026-06-05 13:00:00+00:00,61910.98,62276.22,60683.54,60688.76,339.29254613
2026-06-05 14:00:00+00:00,60697.81,61183.13,60307.46,60820.91,427.16633531
2026-06-05 15:00:00+00:00,60829.77,61096.16,60018.28,60409.1,371.90732854
2026-06-05 16:00:00+00:00,60391.56,61511.98,59742.76,61346.44,560.94708033
2026-06-05 17:00:00+00:00,61348.23,61475.02,60605.46,60762.79,170.7080505
2026-06-05 18:00:00+00:00,60758.34,60909.12,59103.5,59343.06,407.65336882
2026-06-05 19:00:00+00:00,59353.65,60420.6,59100.0,60282.01,263.27956002999997
2026-06-05 20:00:00+00:00,60264.01,61743.9,59904.75,61614.0,268.1858229
2026-06-05 21:00:00+00:00,61608.98,61969.99,61426.63,61656.0,123.207701
2026-06-05 22:00:00+00:00,61642.93,61953.73,61201.2,61574.93,146.5568308
2026-06-05 23:00:00+00:00,61576.0,61746.98,60496.98,61042.14,107.49935823
2026-06-06 00:00:00+00:00,61032.64,61503.35,61032.64,61246.93,65.19364277
2026-06-06 01:00:00+00:00,61258.1,61359.66,60932.06,61053.7,59.09117491
2026-06-06 02:00:00+00:00,61036.54,61167.32,60653.51,60924.89,49.24748107
2026-06-06 03:00:00+00:00,60924.0,60941.14,60506.29,60668.0,49.15569106
2026-06-06 04:00:00+00:00,60671.1,60848.28,59485.04,60077.41,126.16627222
2026-06-06 05:00:00+00:00,60100.98,61039.79,59605.51,60915.09,110.94539257
2026-06-06 06:00:00+00:00,60931.78,61235.94,60665.42,60753.66,55.40602281
2026-06-06 07:00:00+00:00,60759.14,61217.32,60704.02,60961.83,40.38946069
2026-06-06 08:00:00+00:00,60968.73,61498.48,60850.88,61227.88,41.02377492
2026-06-06 09:00:00+00:00,61238.38,61295.38,60860.83,60944.63,18.61977884
2026-06-06 10:00:00+00:00,60950.14,60950.14,60194.16,60580.54,51.42563875
2026-06-06 11:00:00+00:00,60563.89,60941.48,60509.37,60777.96,53.46683446
2026-06-06 12:00:00+00:00,60777.97,61148.06,60617.89,61001.58,67.21818649
2026-06-06 13:00:00+00:00,61001.56,61073.97,60669.9,60765.99,35.02214
2026-06-06 14:00:00+00:00,60776.98,60993.83,60744.53,60766.78,25.44921232
2026-06-06 15:00:00+00:00,60766.79,60898.96,60370.0,60749.01,51.14067862
2026-06-06 16:00:00+00:00,60749.0,60937.99,60461.66,60744.95,57.53994506
2026-06-06 17:00:00+00:00,60752.69,60820.73,60478.94,60552.65,46.700455850000004
2026-06-06 18:00:00+00:00,60552.63,60722.99,60366.86,60604.69,30.10743581
2026-06-06 19:00:00+00:00,60604.68,60749.91,60504.0,60572.96,39.496621
2026-06-06 20:00:00+00:00,60571.0,60731.52,60485.93,60676.0,31.668027719999998
2026-06-06 21:00:00+00:00,60681.04,60977.45,60673.02,60725.99,26.89727335
2026-06-06 22:00:00+00:00,60726.0,60796.67,60403.58,60525.13,45.63900791
2026-06-06 23:00:00+00:00,60525.14,60913.99,60514.58,60858.64,33.52396073
2026-06-07 00:00:00+00:00,60850.82,60950.32,60717.66,60760.59,29.96563164
2026-06-07 01:00:00+00:00,60752.48,61636.4,60728.68,61453.0,105.87064833
2026-06-07 02:00:00+00:00,61445.61,61541.98,61156.04,61472.01,49.35952955
2026-06-07 03:00:00+00:00,61472.01,61761.38,61382.09,61676.39,34.56874072
2026-06-07 04:00:00+00:00,61676.38,61876.47,61458.56,61871.68,29.15416087
2026-06-07 05:00:00+00:00,61859.92,62136.72,61623.44,61715.31,41.17300734
2026-06-07 06:00:00+00:00,61715.3,62223.7,61586.57,62080.0,67.1692399
2026-06-07 07:00:00+00:00,62079.99,62387.21,61966.48,62374.66,55.43638455
2026-06-07 08:00:00+00:00,62376.57,62946.21,62233.52,62835.58,68.25218115
2026-06-07 09:00:00+00:00,62835.2,62880.09,62388.33,62505.46,38.954422029999996
2026-06-07 10:00:00+00:00,62507.76,62551.91,62278.32,62359.45,20.52374636
2026-06-07 11:00:00+00:00,62348.25,62736.83,62344.34,62589.68,27.5168509
2026-06-07 12:00:00+00:00,62606.77,62621.34,61557.92,61890.64,85.50308584
2026-06-07 13:00:00+00:00,61859.21,61886.08,61634.96,61681.86,30.15522817
2026-06-07 14:00:00+00:00,61677.49,62274.79,61673.57,61875.8,55.587578459999996
2026-06-07 15:00:00+00:00,61880.54,62195.48,61641.52,62059.22,31.24179633
2026-06-07 16:00:00+00:00,62074.64,62289.09,61935.91,62051.1,30.74384347
2026-06-07 17:00:00+00:00,62054.99,62302.05,62018.0,62134.13,30.997239049999997
2026-06-07 18:00:00+00:00,62134.12,62269.35,61993.01,62004.33,32.5781041
2026-06-07 19:00:00+00:00,62004.34,62017.6,61141.19,61299.04,109.99349963
2026-06-07 20:00:00+00:00,61308.22,61938.91,61186.21,61852.95,47.32757843
2026-06-07 21:00:00+00:00,61848.2,61977.99,61623.72,61741.61,40.09703586
2026-06-07 22:00:00+00:00,61748.22,64196.66,61694.16,62834.39,255.67297242
2026-06-07 23:00:00+00:00,62831.86,63430.99,62772.72,63315.72,105.50607828
2026-06-08 00:00:00+00:00,63306.56,63839.99,63117.05,63603.04,109.1748114
2026-06-08 01:00:00+00:00,63603.05,63622.26,62683.98,63164.85,100.93341748
2026-06-08 02:00:00+00:00,63199.97,63233.77,62884.2,63090.24,59.46154693
2026-06-08 03:00:00+00:00,63100.85,63425.68,62942.31,63086.0,55.217174729999996
2026-06-08 04:00:00+00:00,63097.5,63139.55,62611.3,62671.67,47.6384219
2026-06-08 05:00:00+00:00,62669.0,62790.01,62370.0,62713.26,52.5331883
