step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
1.0,all,1.0,3,60,10,False,24,True,-1000.0,-0.0223,1004.66,100.0,2015-03-20 15:00:00,1,5554,6,5027,520,-69.59,0.06
2.0,all,1.0,4,250,10,False,168,True,-1000.0,-0.0223,1036.71,100.0,2015-06-01 09:00:00,5,3461,0,3387,69,-181.53,0.08
1.5,7-20,1.0,3,150,6,True,72,True,-1000.0,-0.0223,1022.43,100.0,2014-02-18 08:00:00,6,2449,0,2366,77,-82.78,0.06
1.0,12-21,1.2,3,250,6,False,24,True,-1000.0,-0.0223,1002.92,100.0,2013-12-27 12:00:00,1,1995,0,1849,145,-51.44,0.06
2.0,all,1.0,3,250,6,True,168,False,-1000.0,-0.0223,1011.06,100.0,2013-11-05 11:00:00,2,1745,0,1708,35,-110.86,0.06
1.5,all,1.2,3,60,10,False,72,False,-1000.0,-0.0223,1024.24,100.0,2015-02-26 17:00:00,1,4322,26,4113,182,-81.64,0.06
0.5,12-21,1.0,3,60,10,True,24,False,-1000.0,-0.0223,1024.21,100.0,2014-11-20 14:00:00,5,3554,6,3168,375,-68.22,0.06
1.0,all,1.2,4,150,6,True,72,True,-1000.0,-0.0223,1006.99,100.0,2013-07-05 14:00:00,2,1368,0,1326,40,-144.18,0.08
1.0,all,1.2,3,60,6,False,168,False,-1000.0,-0.0223,1008.96,100.0,2013-08-08 08:00:00,3,1605,24,1567,11,-81.34,0.06
2.0,7-20,1.2,3,150,6,True,24,False,-1000.0,-0.0223,1010.1,100.0,2013-10-17 17:00:00,4,2402,0,2212,186,-45.78,0.05
1.5,7-20,1.2,6,250,10,False,72,False,-1000.0,-0.0223,1082.78,100.0,2014-10-10 11:00:00,5,3219,0,3067,147,-121.82,0.1
1.5,7-20,1.2,3,250,10,True,168,True,-1000.0,-0.0223,1018.76,100.0,2015-03-18 22:00:00,1,2775,0,2697,77,-134.06,0.06
1.0,all,1.2,4,100,10,False,168,False,-1000.0,-0.0223,1040.05,100.0,2013-10-09 10:00:00,6,1589,19,1548,16,-131.55,0.08
2.0,7-20,1.2,3,150,10,True,168,True,-1000.0,-0.0223,1003.63,100.0,2015-05-12 12:00:00,2,2980,0,2899,79,-141.04,0.06
1.5,12-21,1.0,4,250,10,False,24,False,-1000.0,-0.0223,1010.9,100.0,2015-05-27 16:00:00,4,4418,0,3936,478,-84.49,0.07
1.5,all,1.0,3,150,6,False,168,True,-1000.0,-0.0223,1009.12,100.0,2013-11-07 13:00:00,3,1625,0,1591,31,-112.36,0.06
1.5,12-21,1.0,4,250,6,False,168,False,-1000.0,-0.0223,1007.7,100.0,2014-02-13 15:00:00,5,1697,0,1663,29,-115.26,0.08
1.0,12-21,1.2,4,60,6,True,24,True,-1000.0,-0.0223,1002.92,100.0,2013-11-21 16:00:00,4,1834,6,1708,116,-102.46,0.07
1.0,12-21,1.0,3,250,10,False,24,True,-1000.0,-0.0223,1002.63,100.0,2015-05-12 12:00:00,4,3973,0,3567,402,-66.99,0.06
1.0,all,1.0,3,150,10,True,72,False,-1000.0,-0.0223,1028.93,100.0,2015-03-18 22:00:00,1,4531,0,4322,208,-148.37,0.06
0.5,7-20,1.2,6,250,6,False,168,True,-1000.0,-0.0223,1019.76,100.0,2013-07-05 14:00:00,2,1031,0,1014,15,-162.17,0.12
1.5,7-20,1.0,4,100,10,True,168,False,-1000.0,-0.0223,1052.34,100.0,2013-10-22 14:00:00,4,1355,14,1320,17,-129.2,0.08
1.5,7-20,1.0,3,60,6,True,168,False,-1000.0,-0.0223,1011.65,100.0,2013-10-01 08:00:00,3,1572,23,1534,12,-82.28,0.06
0.5,7-20,1.0,4,250,6,False,24,False,-1000.0,-0.0223,1018.82,100.0,2013-06-03 17:00:00,3,1605,0,1504,98,-68.02,0.08
2.0,7-20,1.2,4,100,10,True,168,True,-1000.0,-0.0223,1025.34,100.0,2014-01-23 09:00:00,6,1468,12,1428,22,-118.73,0.08
0.5,all,1.2,4,60,6,False,24,True,-1000.0,-0.0223,1005.95,100.0,2013-05-15 14:00:00,2,1398,8,1317,71,-86.92,0.08
0.5,7-20,1.2,3,100,6,True,168,False,-1000.0,-0.0223,1008.48,100.0,2013-09-02 15:00:00,8,1404,6,1365,25,-107.53,0.06
0.5,12-21,1.0,4,60,6,False,168,False,-1000.0,-0.0223,1002.93,100.0,2013-09-17 14:00:00,5,1516,29,1478,4,-93.82,0.08
