sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.0,ladder_balance,IS,400,527,0.4,0.0,0.0,0.0,99.6,10.9,8.7,3.33,-0.99,99560.0,0.0,2.6,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.5,fixed,IS,400,527,4.2,0.0,1.5,7.8,86.5,4.5,4.3,4.96,-1.61,99559.0,9.3,1.3,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.5,fixed,IS,400,527,8.0,0.0,2.7,28.8,60.5,6.4,7.5,6.73,-1.75,99273.0,31.5,2.1,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.5,balance,IS,400,527,4.4,0.0,1.5,6.6,87.5,4.4,4.3,4.95,-1.62,99567.0,8.1,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.5,balance,IS,400,527,7.8,0.0,3.2,27.9,61.1,6.1,7.5,6.72,-1.76,99273.0,31.1,2.2,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.5,ladder,IS,400,527,0.2,0.0,0.2,0.0,99.6,4.6,4.4,2.26,-0.87,99731.0,0.2,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.5,ladder,IS,400,527,1.9,0.0,0.2,0.0,97.9,8.1,8.7,3.57,-1.13,99535.0,0.2,2.5,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,1.5,ladder_balance,IS,400,527,0.2,0.0,0.2,0.0,99.6,4.6,4.4,2.26,-0.88,99728.0,0.2,1.3,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,1.5,ladder_balance,IS,400,527,1.9,0.0,0.2,0.0,97.9,8.1,8.7,3.58,-1.13,99530.0,0.2,2.6,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.0,fixed,IS,400,527,6.5,0.0,5.9,19.0,68.7,4.4,4.0,6.3,-2.1,99490.0,24.9,1.3,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.0,fixed,IS,400,527,12.1,0.0,10.1,38.5,39.3,6.5,6.4,7.96,-2.24,99315.0,48.6,1.8,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.0,balance,IS,400,527,6.5,0.0,6.1,17.8,69.6,4.4,4.0,6.29,-2.11,99467.0,23.9,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.0,balance,IS,400,527,12.3,0.0,10.4,38.1,39.1,6.5,6.4,7.96,-2.25,99297.0,48.5,2.1,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.0,ladder,IS,400,527,0.4,0.0,0.2,0.0,99.4,5.5,4.4,2.27,-0.88,99730.0,0.2,1.5,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.0,ladder,IS,400,527,1.9,0.0,0.2,0.0,97.9,8.1,8.7,3.63,-1.16,99510.0,0.2,2.7,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.0,ladder_balance,IS,400,527,0.4,0.0,0.2,0.0,99.4,5.5,4.4,2.28,-0.89,99726.0,0.2,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.0,ladder_balance,IS,400,527,1.9,0.0,0.2,0.0,97.9,8.1,8.7,3.64,-1.17,99502.0,0.2,2.7,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,fixed,IS,400,527,10.2,0.0,14.0,30.0,45.7,2.8,3.6,7.92,-2.82,99311.0,44.0,1.1,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,fixed,IS,400,527,17.5,0.0,19.9,44.4,18.2,5.4,4.9,9.12,-2.93,99415.0,64.3,1.5,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,balance,IS,400,527,9.9,0.0,19.0,30.6,40.6,2.8,3.5,7.81,-2.82,99302.0,49.6,1.1,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,balance,IS,400,527,14.6,0.0,26.8,44.4,14.2,5.0,4.6,8.75,-2.92,99427.0,71.2,1.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,ladder,IS,400,527,0.4,0.0,0.2,0.0,99.4,5.5,4.4,2.27,-0.88,99730.0,0.2,1.3,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,ladder,IS,400,527,1.9,0.0,0.2,0.0,97.9,8.1,8.7,3.65,-1.17,99504.0,0.2,2.4,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,ladder_balance,IS,400,527,0.4,0.0,0.2,0.0,99.4,5.5,4.4,2.28,-0.89,99726.0,0.2,0.9,2
GBPUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,ladder_balance,IS,400,527,1.9,0.0,0.6,0.0,97.5,8.1,8.7,3.65,-1.18,99497.0,0.6,1.9,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,0.5,fixed,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,1.66,-0.54,99865.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,0.5,fixed,IS,400,527,0.2,0.0,0.0,0.0,99.8,8.4,8.7,2.48,-0.59,99769.0,0.0,2.6,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,0.5,balance,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,1.66,-0.54,99864.0,0.0,1.3,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,0.5,balance,IS,400,527,0.2,0.0,0.0,0.0,99.8,8.4,8.7,2.48,-0.59,99767.0,0.0,2.8,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,fixed,IS,400,527,0.8,0.0,0.0,0.0,99.2,3.4,4.4,3.33,-1.07,99736.0,0.0,1.5,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,fixed,IS,400,527,1.9,0.0,0.0,9.7,88.4,8.1,8.5,4.88,-1.17,99544.0,9.7,2.7,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,balance,IS,400,527,0.8,0.0,0.0,0.0,99.2,3.4,4.4,3.32,-1.08,99732.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,balance,IS,400,527,1.9,0.0,0.0,8.3,89.8,8.1,8.5,4.88,-1.17,99525.0,8.3,2.6,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,ladder,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,2.14,-0.8,99772.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,ladder,IS,400,527,0.4,0.0,0.0,0.0,99.6,10.9,8.7,3.31,-0.97,99576.0,0.0,2.6,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,ladder_balance,IS,400,527,0.0,0.0,0.0,0.0,100.0,,4.4,2.15,-0.8,99769.0,0.0,1.4,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,ladder_balance,IS,400,527,0.4,0.0,0.0,0.0,99.6,10.9,8.7,3.31,-0.98,99571.0,0.0,2.6,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,fixed,IS,400,527,3.8,0.0,1.3,7.8,87.1,2.9,4.3,4.94,-1.6,99577.0,9.1,1.3,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,fixed,IS,400,527,7.8,0.0,2.1,28.7,61.5,7.4,7.5,6.71,-1.72,99296.0,30.8,2.2,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,balance,IS,400,527,4.0,0.0,1.3,6.6,88.0,2.9,4.3,4.93,-1.6,99585.0,7.9,1.4,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,balance,IS,400,527,7.8,0.0,2.5,27.7,62.0,6.3,7.6,6.71,-1.73,99296.0,30.2,2.2,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,ladder,IS,400,527,0.2,0.0,0.2,0.0,99.6,4.6,4.4,2.25,-0.86,99740.0,0.2,1.4,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,ladder,IS,400,527,1.5,0.0,0.2,0.0,98.3,8.1,8.7,3.55,-1.12,99533.0,0.2,2.5,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,ladder_balance,IS,400,527,0.2,0.0,0.2,0.0,99.6,4.6,4.4,2.25,-0.87,99737.0,0.2,1.3,2
GBPUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,ladder_balance,IS,400,527,1.5,0.0,0.2,0.0,98.3,8.1,8.7,3.56,-1.12,99528.0,0.2,2.6,2
