n,pass_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,symbol,strategy,risk,pass_inconsistent_pct
786,8.4,0.0,6.6,85.0,5.6,6.7,6.97,-2.29,99323.0,BTCUSD,coin_2R,4.0,
786,0.0,0.0,0.0,100.0,,7.0,3.15,-1.02,99885.0,BTCUSD,coin_1R,1.0,
786,0.4,0.0,1.5,98.1,6.5,7.0,5.04,-1.82,99842.0,BTCUSD,coin_1R,2.0,
786,1.8,0.0,3.1,95.2,5.7,6.9,5.54,-2.13,99835.0,BTCUSD,coin_1R,3.0,
786,2.4,0.0,3.9,93.6,5.6,6.9,5.69,-2.25,99841.0,BTCUSD,coin_1R,4.0,
786,0.0,0.0,0.0,100.0,,2.5,1.88,-0.81,99827.0,BTCUSD,ema_trend_h1,1.0,
786,0.1,0.0,0.0,99.9,5.6,2.5,3.35,-1.45,99609.0,BTCUSD,ema_trend_h1,2.0,
786,1.0,2.5,0.1,96.3,5.6,2.4,4.07,-1.82,99507.0,BTCUSD,ema_trend_h1,3.0,
786,1.0,3.1,0.3,95.7,5.6,2.4,4.3,-1.94,99415.0,BTCUSD,ema_trend_h1,4.0,
786,0.0,0.0,0.0,100.0,,0.7,0.67,-0.33,99956.0,BTCUSD,ema_trend_h4,1.0,
786,0.0,0.0,0.0,100.0,,0.7,1.22,-0.6,99903.0,BTCUSD,ema_trend_h4,2.0,
786,0.0,0.0,0.0,100.0,,0.7,1.52,-0.74,99860.0,BTCUSD,ema_trend_h4,3.0,
786,0.1,0.5,0.0,99.4,5.6,0.7,1.66,-0.81,99849.0,BTCUSD,ema_trend_h4,4.0,
2505,0.0,0.0,0.0,100.0,,3.5,2.65,-1.0,99940.0,XAUUSD,breakout_2R,1.0,0.0
2505,1.9,0.0,0.8,97.3,5.6,3.5,5.31,-2.0,99888.0,XAUUSD,breakout_2R,2.0,0.0
2505,7.2,0.9,7.9,84.0,5.6,3.4,7.75,-2.95,99782.0,XAUUSD,breakout_2R,3.0,0.0
2505,14.1,1.4,20.6,63.9,5.6,3.1,9.79,-3.86,99653.0,XAUUSD,breakout_2R,4.0,0.0
2505,0.0,0.0,0.0,100.0,,3.5,2.26,-0.98,99827.0,XAUUSD,breakout_1R,1.0,0.0
2505,0.0,0.0,0.7,99.3,,3.5,4.52,-1.96,99654.0,XAUUSD,breakout_1R,2.0,0.0
2505,3.1,0.4,5.3,91.2,5.7,3.5,6.67,-2.93,99483.0,XAUUSD,breakout_1R,3.0,0.0
2505,7.7,0.6,15.9,75.7,5.6,3.3,8.53,-3.85,99210.0,XAUUSD,breakout_1R,4.0,0.0
2400,0.0,0.0,0.0,100.0,,3.6,2.9,-1.0,99871.0,EURUSD,breakout_2R,1.0,0.0
2400,2.4,0.0,2.0,95.6,5.6,3.6,5.79,-2.0,99749.0,EURUSD,breakout_2R,2.0,0.0
2400,9.8,0.4,12.5,77.4,5.6,3.4,8.38,-2.95,99558.0,EURUSD,breakout_2R,3.0,0.0
2400,16.9,0.5,25.0,57.6,5.6,3.1,10.44,-3.85,99523.0,EURUSD,breakout_2R,4.0,0.0
2400,0.0,0.0,0.0,100.0,,3.6,2.33,-0.97,99826.0,EURUSD,breakout_1R,1.0,0.0
2400,0.0,0.0,0.4,99.6,,3.6,4.67,-1.95,99652.0,EURUSD,breakout_1R,2.0,0.0
2400,2.5,0.0,5.7,91.9,5.8,3.6,6.92,-2.92,99441.0,EURUSD,breakout_1R,3.0,0.0
2400,9.4,0.1,16.8,73.7,5.6,3.4,8.84,-3.83,99301.0,EURUSD,breakout_1R,4.0,0.0
2400,0.0,0.0,0.0,100.0,,3.7,2.97,-1.0,99967.0,GBPUSD,breakout_2R,1.0,0.0
2400,3.2,0.0,2.5,94.2,5.6,3.6,5.94,-2.0,99941.0,GBPUSD,breakout_2R,2.0,0.0
2400,12.2,0.0,12.8,75.0,5.6,3.4,8.53,-2.91,99892.0,GBPUSD,breakout_2R,3.0,0.0
2400,18.2,0.1,26.0,55.6,5.6,3.1,10.7,-3.84,99700.0,GBPUSD,breakout_2R,4.0,0.0
2400,0.0,0.0,0.0,100.0,,3.7,2.32,-0.97,100014.0,GBPUSD,breakout_1R,1.0,0.0
2400,0.0,0.0,0.8,99.2,,3.7,4.64,-1.94,100029.0,GBPUSD,breakout_1R,2.0,0.0
2400,3.8,0.0,5.8,90.5,5.6,3.6,6.86,-2.91,100013.0,GBPUSD,breakout_1R,3.0,0.0
2400,11.9,0.1,15.8,72.1,5.6,3.4,8.74,-3.8,100043.0,GBPUSD,breakout_1R,4.0,0.0
2400,0.0,0.0,0.0,100.0,,2.6,1.9,-0.86,100194.0,USDJPY,breakout_2R,1.0,0.0
2400,0.6,0.0,0.3,99.0,5.9,2.6,3.8,-1.71,100388.0,USDJPY,breakout_2R,2.0,0.0
2400,4.0,0.3,2.4,93.4,5.6,2.5,5.63,-2.53,100584.0,USDJPY,breakout_2R,3.0,0.0
2400,7.3,0.3,8.0,84.5,5.6,2.5,7.34,-3.33,100700.0,USDJPY,breakout_2R,4.0,0.0
2400,0.0,0.0,0.0,100.0,,2.6,1.61,-0.83,100102.0,USDJPY,breakout_1R,1.0,0.0
2400,0.0,0.0,0.2,99.8,,2.6,3.22,-1.65,100203.0,USDJPY,breakout_1R,2.0,0.0
2400,1.1,0.2,1.6,97.1,5.7,2.6,4.8,-2.48,100301.0,USDJPY,breakout_1R,3.0,0.0
2400,3.4,0.2,6.2,90.3,5.6,2.5,6.28,-3.27,100365.0,USDJPY,breakout_1R,4.0,0.0
786,0.0,0.0,0.0,100.0,,4.2,2.55,-0.95,99867.0,BTCUSD,breakout_2R,1.0,0.0
786,1.1,0.0,0.0,98.9,5.7,4.2,4.52,-1.79,99763.0,BTCUSD,breakout_2R,2.0,0.0
786,3.4,0.0,1.1,95.4,5.6,4.1,5.56,-2.34,99671.0,BTCUSD,breakout_2R,3.0,0.0
786,4.7,0.0,2.8,92.5,5.6,4.1,5.88,-2.57,99644.0,BTCUSD,breakout_2R,4.0,0.0
786,0.0,0.0,0.0,100.0,,4.2,2.22,-0.94,99793.0,BTCUSD,breakout_1R,1.0,0.0
786,0.0,0.0,0.0,100.0,,4.2,3.94,-1.77,99674.0,BTCUSD,breakout_1R,2.0,0.0
786,0.3,0.0,0.6,99.1,6.7,4.2,4.88,-2.32,99609.0,BTCUSD,breakout_1R,3.0,0.0
786,1.4,0.0,2.0,96.6,5.6,4.2,5.21,-2.55,99599.0,BTCUSD,breakout_1R,4.0,0.0
