sym,mult,step,lv,sl,tp,final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,yearly,ruin
EURUSD,1.5,60,4,150,15,0.0,-1000.0,-0.0223,-0.0164,1109.22,100.0,0.0,2015-06-05 16:00:00,0,1922,25,1897,0.1,4,-229.56,"{'2012': -86.33, '2013': -128.19, '2014': -48.37, '2015': -737.1, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,200,6,0.0,-1000.0,-0.0223,-0.0778,1004.31,100.0,0.0,2015-01-16 17:00:00,2,2039,10,2027,0.1,4,-245.72,"{'2012': -149.29, '2013': -547.84, '2014': -82.17, '2015': -220.71, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,200,10,0.0,-1000.0,-0.0223,-0.0484,1069.79,100.0,0.0,2015-05-26 15:00:00,0,2072,15,2057,0.1,4,-229.56,"{'2012': -103.38, '2013': -311.11, '2014': 5.88, '2015': -591.4, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,4,200,15,938.52,-61.48,-0.0014,-0.022,1066.94,89.2,129.3,,0,3289,26,3263,0.1,4,-245.72,"{'2012': -83.13, '2013': -85.42, '2014': 180.39, '2015': -650.06, '2016': 170.91, '2017': 405.85}",False
EURUSD,1.5,60,6,60,6,0.0,-1000.0,-0.0223,-0.0583,1004.31,100.0,0.0,2015-03-18 20:00:00,0,3106,41,3065,0.07,4,-108.62,"{'2012': -107.21, '2013': -383.77, '2014': -164.51, '2015': -344.52, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,60,10,0.0,-1000.0,-0.0223,-0.0136,1094.38,100.0,0.0,2015-11-06 15:00:00,1,3697,70,3626,0.07,4,-108.62,"{'2012': -49.28, '2013': -18.91, '2014': 17.72, '2015': -949.54, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,60,15,1051.57,51.57,0.0011,0.0199,927.39,63.4,534.85,,0,4581,108,4473,0.07,4,-121.12,"{'2012': -18.92, '2013': 272.17, '2014': 142.21, '2015': -774.88, '2016': 306.88, '2017': 124.13}",False
EURUSD,1.5,60,6,100,6,0.0,-1000.0,-0.0223,-0.0807,1004.31,100.0,0.0,2014-10-06 21:00:00,1,2178,19,2158,0.1,5,-178.35,"{'2012': -150.12, '2013': -578.15, '2014': -271.73, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,100,10,0.0,-1000.0,-0.0223,-0.0485,1013.09,100.0,0.0,2015-04-03 15:00:00,2,2440,30,2408,0.1,5,-176.53,"{'2012': -96.06, '2013': -320.26, '2014': -148.96, '2015': -434.73, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,100,15,1261.71,261.71,0.0058,-0.0143,631.39,56.5,486.28,,0,4228,61,4167,0.1,5,-175.91,"{'2012': -56.84, '2013': -31.72, '2014': 5.26, '2015': -246.09, '2016': 181.48, '2017': 409.63}",False
EURUSD,1.5,60,6,150,6,0.0,-1000.0,-0.0223,-0.0882,1004.31,100.0,0.0,2014-09-04 14:00:00,0,1949,12,1937,0.15,6,-197.57,"{'2012': -249.88, '2013': -594.34, '2014': -155.78, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,150,10,0.0,-1000.0,-0.0223,-0.0511,1013.09,100.0,0.0,2015-03-11 11:00:00,1,2196,19,2176,0.15,6,-215.62,"{'2012': -197.96, '2013': -290.75, '2014': -203.48, '2015': -307.81, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,150,15,0.0,-1000.0,-0.0223,-0.0195,1336.12,100.0,0.0,2015-06-04 11:00:00,3,2000,24,1973,0.15,6,-320.78,"{'2012': -8.94, '2013': -180.9, '2014': 93.92, '2015': -904.08, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,200,6,0.0,-1000.0,-0.0223,-0.1142,1004.31,100.0,0.0,2013-09-18 20:00:00,1,1133,7,1125,0.15,6,-221.75,"{'2012': -350.83, '2013': -649.17, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,6,200,10,0.0,-1000.0,-0.0223,-0.0925,1013.09,100.0,0.0,2014-09-04 17:00:00,1,1563,12,1550,0.15,6,-221.75,"{'2012': -298.9, '2013': -611.97, '2014': -89.13, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
