final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.053,1008.6,100.0,0.0,2014-10-15 15:00:00,2,1819,18,1799,0.11,8,-197.36,200,40,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.6,100.0,0.0,2013-06-19 20:00:00,1,578,5,572,0.13,8,-302.32,200,40,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0478,1004.88,100.0,0.0,2015-06-04 14:00:00,2,2261,38,2221,0.06,3,-129.72,200,60,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0449,1004.88,100.0,0.0,2015-06-17 21:00:00,1,1907,18,1888,0.06,3,-169.46,200,60,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0285,1004.88,100.0,0.0,2016-06-24 04:00:00,0,2051,11,2040,0.06,3,-274.38,200,60,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0729,1005.5,100.0,0.0,2014-10-22 09:00:00,3,1689,30,1656,0.07,5,-106.85,200,60,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0644,1005.5,100.0,0.0,2014-10-06 21:00:00,3,1539,15,1521,0.09,5,-196.62,200,60,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1005.5,100.0,0.0,2013-08-27 15:00:00,5,635,6,624,0.1,5,-270.78,200,60,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0729,1005.5,100.0,0.0,2014-10-22 09:00:00,3,1689,30,1656,0.07,5,-106.85,200,60,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0629,1005.5,100.0,0.0,2014-10-06 21:00:00,2,1552,16,1534,0.1,7,-189.39,200,60,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1049.79,100.0,0.0,2013-06-28 15:00:00,10,555,5,540,0.12,8,-273.65,200,60,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0497,1008.71,100.0,0.0,2015-11-20 14:00:00,4,2850,52,2794,0.06,3,-107.87,400,15,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0625,1008.71,100.0,0.0,2015-03-06 16:00:00,0,1649,18,1631,0.06,3,-185.62,400,15,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0417,1062.7,100.0,0.0,2016-01-07 11:00:00,3,1670,11,1656,0.06,3,-259.31,400,15,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0693,1008.61,100.0,0.0,2014-10-15 14:00:00,2,2146,42,2102,0.1,5,-111.82,400,15,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.07,1008.61,100.0,0.0,2014-09-19 10:00:00,1,1784,21,1762,0.1,5,-172.06,400,15,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.61,100.0,0.0,2013-08-22 11:00:00,4,845,8,833,0.1,5,-266.31,400,15,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0965,1009.99,100.0,0.0,2014-02-21 10:00:00,5,1640,33,1602,0.13,8,-136.17,400,15,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1009.99,100.0,0.0,2013-07-11 05:00:00,2,837,13,822,0.13,8,-204.91,400,15,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1009.99,100.0,0.0,2013-07-11 00:00:00,1,772,7,764,0.16,8,-303.19,400,15,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.042,1030.6,100.0,0.0,2015-11-25 08:00:00,8,2916,50,2858,0.06,3,-101.06,400,25,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0709,1006.26,100.0,0.0,2015-03-16 17:00:00,4,1671,18,1649,0.06,3,-182.42,400,25,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0499,1030.19,100.0,0.0,2016-02-04 08:00:00,5,1736,11,1720,0.06,3,-257.34,400,25,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0965,1008.07,100.0,0.0,2014-10-10 15:00:00,8,2006,37,1961,0.1,5,-111.57,400,25,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0765,1008.07,100.0,0.0,2014-09-19 10:00:00,2,1683,18,1663,0.1,5,-165.8,400,25,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-10-09 14:00:00,3,845,7,835,0.1,5,-287.22,400,25,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0874,1008.07,100.0,0.0,2014-09-19 10:00:00,8,1947,33,1906,0.1,7,-122.83,400,25,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-10-31 01:00:00,7,1098,14,1077,0.13,8,-186.01,400,25,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-06-19 20:00:00,1,635,6,628,0.15,8,-316.28,400,25,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0437,1001.77,100.0,0.0,2015-11-19 08:00:00,6,2685,44,2635,0.06,3,-131.88,400,40,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0594,1001.77,100.0,0.0,2015-06-17 21:00:00,1,1826,18,1807,0.06,3,-179.3,400,40,3,150,10,0.01,GBPUSD,False
