final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
157.41,-842.59,-0.0188,-0.0136,859.61,85.3,148.39,,0,2369,13,2356,0.06,3,-266.49,200,25,3,250,10,0.01,EURUSD,False
145.74,-854.26,-0.019,-0.0123,864.37,85.8,143.63,,0,2215,13,2202,0.06,3,-281.26,400,15,3,250,10,0.01,EURUSD,False
139.39,-860.61,-0.0192,-0.0273,985.86,97.8,22.13,,0,2895,26,2869,0.06,3,-163.02,400,25,3,150,10,0.01,EURUSD,False
104.65,-895.35,-0.02,-0.0454,977.99,97.0,30.01,,0,3675,53,3622,0.06,3,-128.69,400,60,3,80,10,0.01,EURUSD,False
81.46,-918.54,-0.0205,-0.0165,935.56,92.8,72.44,,0,2311,13,2298,0.06,3,-274.06,400,25,3,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0105,1083.16,100.0,0.0,2015-06-10 13:00:00,1,2797,51,2745,0.06,3,-120.37,50,15,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.014,1008.18,100.0,0.0,2016-04-01 23:00:00,6,2372,25,2341,0.06,3,-163.02,50,15,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0402,1010.7,100.0,0.0,2015-03-27 18:00:00,2,3115,57,3056,0.1,5,-136.37,50,15,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0463,1010.7,100.0,0.0,2015-01-26 15:00:00,2,2419,26,2391,0.1,5,-188.06,50,15,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0498,1010.7,100.0,0.0,2015-01-27 19:00:00,2,1685,12,1671,0.1,5,-258.89,50,15,5,250,10,0.01,EURUSD,False
